Cluster path Databricks,Window number(length),Total tweets,No of positive Tweets,Number of negative tweets
dbfs:/twitter/iphone_370,iphone_370,1,0,1
dbfs:/twitter/iphone_3721,iphone_3721,1,1,0
dbfs:/twitter/iphone_3750,iphone_3750,1,0,1
dbfs:/twitter/iphone_3802,iphone_3802,1,1,0
dbfs:/twitter/iphone_3820,iphone_3820,1,0,1
dbfs:/twitter/iphone_3834,iphone_3834,1,1,0
dbfs:/twitter/iphone_3840,iphone_3840,1,0,1
dbfs:/twitter/iphone_3906,iphone_3906,1,1,0
dbfs:/twitter/iphone_3915,iphone_3915,1,1,0
dbfs:/twitter/iphone_3937,iphone_3937,1,0,1
dbfs:/twitter/iphone_3953,iphone_3953,1,0,1
dbfs:/twitter/iphone_3980,iphone_3980,1,0,1
dbfs:/twitter/iphone_40,iphone_40,1,1,0
dbfs:/twitter/iphone_401,iphone_401,1,0,1
dbfs:/twitter/iphone_4011,iphone_4011,1,1,0
dbfs:/twitter/iphone_4018,iphone_4018,1,0,1
dbfs:/twitter/iphone_4021,iphone_4021,1,1,0
dbfs:/twitter/iphone_4062,iphone_4062,1,1,0
dbfs:/twitter/iphone_4072,iphone_4072,2,1,1
dbfs:/twitter/iphone_4087,iphone_4087,3,1,2
dbfs:/twitter/iphone_409,iphone_409,1,0,1
dbfs:/twitter/iphone_4097,iphone_4097,1,1,0
dbfs:/twitter/iphone_4112,iphone_4112,0,1,1
dbfs:/twitter/iphone_4141,iphone_4141,1,0,1
dbfs:/twitter/iphone_4166,iphone_4166,1,0,1
dbfs:/twitter/iphone_4177,iphone_4177,1,1,0
dbfs:/twitter/iphone_42,iphone_42,1,0,1
dbfs:/twitter/iphone_4229,iphone_4229,1,1,0
dbfs:/twitter/iphone_4272,iphone_4272,2,1,1
dbfs:/twitter/iphone_4277,iphone_4277,1,0,1
dbfs:/twitter/iphone_4306,iphone_4306,1,1,0
dbfs:/twitter/iphone_4372,iphone_4372,1,0,1
dbfs:/twitter/iphone_4386,iphone_4386,1,1,0
dbfs:/twitter/iphone_4408,iphone_4408,1,1,0
dbfs:/twitter/iphone_4460,iphone_4460,1,0,1
dbfs:/twitter/iphone_4508,iphone_4508,1,0,1
dbfs:/twitter/iphone_4527,iphone_4527,1,0,1
dbfs:/twitter/iphone_4540,iphone_4540,1,1,0
dbfs:/twitter/iphone_4549,iphone_4549,1,0,1
dbfs:/twitter/iphone_4552,iphone_4552,1,1,0
dbfs:/twitter/iphone_4564,iphone_4564,1,1,0
dbfs:/twitter/iphone_4577,iphone_4577,2,1,1
dbfs:/twitter/iphone_4586,iphone_4586,1,1,0
dbfs:/twitter/iphone_4630,iphone_4630,1,0,1
dbfs:/twitter/iphone_4650,iphone_4650,1,1,0
dbfs:/twitter/iphone_4679,iphone_4679,0,1,1
dbfs:/twitter/iphone_4682,iphone_4682,1,0,1
dbfs:/twitter/iphone_4737,iphone_4737,1,0,1
dbfs:/twitter/iphone_4766,iphone_4766,1,1,0
dbfs:/twitter/iphone_4772,iphone_4772,1,0,1
dbfs:/twitter/iphone_4774,iphone_4774,1,0,1
dbfs:/twitter/iphone_4790,iphone_4790,1,0,1
dbfs:/twitter/iphone_4824,iphone_4824,1,1,0
dbfs:/twitter/iphone_4828,iphone_4828,1,0,1
dbfs:/twitter/iphone_4846,iphone_4846,1,1,0
dbfs:/twitter/iphone_4850,iphone_4850,1,0,1
dbfs:/twitter/iphone_486,iphone_486,1,1,0
dbfs:/twitter/iphone_4956,iphone_4956,1,1,0
dbfs:/twitter/iphone_508,iphone_508,2,1,1
dbfs:/twitter/iphone_5102,iphone_5102,1,0,1
dbfs:/twitter/iphone_5109,iphone_5109,1,1,0
dbfs:/twitter/iphone_5126,iphone_5126,1,0,1
dbfs:/twitter/iphone_5138,iphone_5138,1,1,0
dbfs:/twitter/iphone_5207,iphone_5207,1,0,1
dbfs:/twitter/iphone_5229,iphone_5229,1,1,0
dbfs:/twitter/iphone_5230,iphone_5230,1,0,1
dbfs:/twitter/iphone_5258,iphone_5258,1,1,0
dbfs:/twitter/iphone_5261,iphone_5261,1,1,0
dbfs:/twitter/iphone_5313,iphone_5313,1,0,1
dbfs:/twitter/iphone_5414,iphone_5414,1,1,0
dbfs:/twitter/iphone_5420,iphone_5420,1,0,1
dbfs:/twitter/iphone_5443,iphone_5443,1,1,0
dbfs:/twitter/iphone_5449,iphone_5449,1,1,0
dbfs:/twitter/iphone_5457,iphone_5457,2,1,1
dbfs:/twitter/iphone_5508,iphone_5508,3,1,2
dbfs:/twitter/iphone_5572,iphone_5572,1,0,1
dbfs:/twitter/iphone_5582,iphone_5582,1,1,0
dbfs:/twitter/iphone_5645,iphone_5645,0,1,1
dbfs:/twitter/iphone_5654,iphone_5654,1,0,1
dbfs:/twitter/iphone_5689,iphone_5689,1,0,1
dbfs:/twitter/iphone_5706,iphone_5706,1,1,0
dbfs:/twitter/iphone_5740,iphone_5740,1,0,1
dbfs:/twitter/iphone_576,iphone_576,1,0,1
dbfs:/twitter/iphone_5930,iphone_5930,1,0,1
dbfs:/twitter/iphone_598,iphone_598,1,1,0
